x,y,Ux,Uy,Umag
154.07372713209767,101.25035480955536,5.120918232235965,-23.137568884926125,23.697487154674192
154.07893073828393,111.49325869903436,5.046321816440468,-22.847331309343673,23.397989482731177
154.08413434447016,121.73616258851335,4.971725400644971,-22.55709373376125,23.098496296796235
154.08933795065641,131.97906647799235,4.8971289848494735,-22.266856158178825,22.79900777365715
154.09454155684267,142.22197036747133,4.822532569053976,-21.97661858259636,22.49952409951166
154.0997451630289,152.46487425695034,4.7479361532584505,-21.68638100701392,22.200045470601918
154.10494876921516,162.70777814642932,4.673339737462953,-21.396143431431483,21.900572093900628
154.1101523754014,172.95068203590833,4.598743321667456,-21.105905855849045,21.60110418785447
154.11535598158767,183.1935859253873,4.524146905871959,-20.815668280266607,21.301641983190127
154.1205595877739,193.43648981486632,4.4495504900764615,-20.52543070468414,21.002185723789086
154.12576319396015,203.6793937043453,4.374954074280964,-20.235193129101702,20.702735667638525
154.1280867123375,213.92436856528712,4.152881733811313,-18.69815715474445,19.153785727070897
154.13041023071486,224.16934342622898,3.9308093933416046,-17.161121180387312,17.605548632596502
154.13273374909218,234.41431828717077,3.708737052871953,-15.624085206030088,16.058230570415706
154.13505726746953,244.6592931481126,3.4866647124022734,-14.087049231672893,14.512125511870652
154.1373807858469,254.90426800905442,3.2645923719325936,-12.55001325731564,12.967667335094575
154.13970430422424,265.1492428699962,3.0425200314629137,-11.012977282958445,11.425523916950674
154.1420278226016,275.39421773093807,2.820447690993234,-9.47594130860125,9.886778487540045
154.14435134097891,285.63919259187986,2.598375350523554,-7.938905334244055,8.353309066968437
154.14667485935627,295.8841674528217,2.3763030100539027,-6.401869359886803,6.828670975867024
154.14899837773362,306.1291423137635,2.154230669584223,-4.864833385529607,5.320461788862011
154.15113886898453,316.3715434278547,2.2761658433084904,-3.862530532550636,4.483310502422307
154.15327936023542,326.6139445419459,2.3981010170327295,-2.860227679571551,3.732531428786725
154.1554198514863,336.8563456560371,2.5200361907569686,-1.8579248265925798,3.13088918104649
154.15756034273718,347.0987467701283,2.641971364481236,-0.8556219736135517,2.7770670954208496
154.1597008339881,357.3411478842194,2.7639065382054753,0.14668087936541951,2.7677959882018737
154.16184132523898,367.5835489983106,2.8858417119297144,1.1489837323444476,3.106162584847355
154.16398181648987,377.8259501124018,3.007776885653982,2.151286585323419,3.6979393945908394
154.16612230774075,388.068351226493,3.129712059378221,3.153589438302447,4.4429971775807156
154.16826279899166,398.3107523405842,3.2516472331024886,4.155892291281475,5.276803053485686
154.17040329024255,408.55315345467534,3.3735824068267277,5.158195144260503,6.163443469516326
154.17091798250084,418.7997131144044,3.9970603548420627,6.3608143524314755,7.512419763721168
154.17143267475916,429.0462727741335,4.620538302857398,7.563433560602448,8.863120298959037
154.17194736701748,439.2928324338626,5.244016250872733,8.76605276877342,10.214861114295067
154.1724620592758,449.53939209359163,5.867494198888068,9.968671976944336,11.567277517112677
154.1729767515341,459.78595175332066,6.4909721469034025,11.171291185115308,12.920157357962431
154.17349144379241,470.03251141304975,7.1144500949187375,12.37391039328628,14.273368858618047
154.1740061360507,480.2790710727788,7.737928042934072,13.576529601457196,15.626825858659494
154.17452082830903,490.5256307325079,8.361405990949407,14.779148809628225,16.98046965435939
154.17503552056732,500.77219039223695,8.984883938964742,15.98176801779914,18.334258871615564
154.17555021282564,511.018750051966,9.608361886980077,17.184387225970113,19.68816351220337
154.17226987976915,521.2622001989287,9.779403879609134,17.262352064720744,19.839998463883074
154.16898954671262,531.5056503458914,9.950445872238163,17.340316903471376,19.99244765828228
154.16570921365616,541.7491004928539,10.121487864867191,17.418281742222007,20.145497150730193
154.16242888059963,551.9925506398167,10.292529857496248,17.496246580972638,20.29913336301943
154.15914854754314,562.2360007867793,10.463571850125277,17.57421141972327,20.453343073636297
154.15586821448665,572.4794509337421,10.634613842754305,17.652176258474015,20.60811340818793
154.15258788143015,582.7229010807047,10.805655835383362,17.730141097224646,20.763431830028697
154.14930754837366,592.9663512276674,10.97669782801242,17.808105935975163,20.91928613108981
154.14602721531713,603.20980137463,11.14773982064142,17.88607077472591,21.075664422912475
164.6657507564266,101.24706754829397,4.448234633525459,-24.079271890509347,24.48669283778373
164.67060975827061,111.49025562820725,4.354644186086233,-23.699575210455237,24.09632318723002
164.67546876011457,121.7334437081205,4.26105373864695,-23.319878530401127,23.705976327422174
164.6803277619586,131.9766317880338,4.167463291207696,-22.940181850347017,23.315653403037075
164.68518676380256,142.21981986794705,4.0738728437684415,-22.560485170292893,22.92535563663516
164.69004576564657,152.46300794786038,3.9802823963292155,-22.180788490238797,22.53508433539218
164.69490476749058,162.70619602777364,3.8866919488899327,-21.801091810184744,22.14484089854046
164.69976376933457,172.9493841076869,3.793101501450707,-21.421395130130577,21.754626825608607
164.70462277117855,183.19257218760018,3.6995110540114524,-21.04169845007644,21.36444372556192
164.7094817730226,193.43576026751344,3.605920606572198,-20.662001770022357,20.974293326958815
164.71434077486657,203.67894834742674,3.5123301591329437,-20.282305089968276,20.58417748925878
164.7166719618559,213.9240177747612,3.319059088086675,-18.691052997636405,18.98345636049093
164.71900314884516,224.16908720209574,3.1257880170402927,-17.099800905304534,17.383145334735207
164.72133433583448,234.4141566294302,2.9325169459939673,-15.50854881297272,15.783369156263795
164.72366552282378,244.65922605676477,2.739245874947642,-13.917296720640849,14.184308794360696
164.7259967098131,254.90429548409924,2.545974803901345,-12.326044628308978,12.586237081874993
164.72832789680237,265.14936491143374,2.3527037328550193,-10.734792535977135,10.989585326346957
