x,y,Ux,Uy,Umag
140.83324938268424,101.25982697929359,7.206182051078372,-18.263452074178417,19.63371440708803
140.83877376619571,111.50190306082932,7.028764263471686,-18.453567059293306,19.74683934920451
140.84429814970719,121.74397914236505,6.851346475865,-18.64368204440821,19.862724604276643
140.84982253321866,131.98605522390082,6.673928688258314,-18.83379702952314,19.98132214557465
140.85534691673013,142.22813130543653,6.496510900651629,-19.023912014638043,20.10258396880797
140.86087130024163,152.47020738697228,6.319093113044971,-19.214026999752946,20.22646215526995
140.86639568375307,162.71228346850802,6.141675325438285,-19.404141984867834,20.352908931452724
140.87192006726457,172.95435955004376,5.9642575378316,-19.59425696998275,20.48187672512699
140.87744445077604,183.1964356315795,5.786839750224914,-19.78437195509767,20.613318217900733
140.8829688342875,193.43851171311522,5.609421962618228,-19.97448694021253,20.747186394290303
140.88849321779898,203.68058779465096,5.432004175011542,-20.164601925327446,20.883434587353253
140.89076957464158,213.9254289751772,5.216753811207695,-18.63975648646195,19.35600790972535
140.89304593148415,224.17027015570343,5.001503447403877,-17.11491104759645,17.83073797972288
140.89532228832672,234.41511133622967,4.786253083600059,-15.590065608730981,16.308229954989216
140.8975986451693,244.6599525167559,4.571002719796212,-14.065220169865484,14.789336844198768
140.8998750020119,254.90479369728212,4.355752355992365,-12.540374730999957,13.275299506249766
140.90215135885447,265.14963487780835,4.140501992188547,-11.015529292134488,11.767992281319284
140.90442771569707,275.3944760583346,3.9252516283847285,-9.49068385326899,10.270378783123713
140.90670407253964,285.6393172388608,3.7100012645808818,-7.965838414403493,8.787416629907682
140.90898042938224,295.88415841938706,3.4947509007770634,-6.440992975537938,7.328006166032556
140.9112567862248,306.1289995999133,3.2795005369732166,-4.916147536672497,5.909621846982993
140.91351293019918,316.37152425107155,3.567466980998148,-3.897754226531788,5.283872507068888
140.9157690741735,326.61404890222974,3.8554334250230795,-2.879360916390965,4.811973210817472
140.91802521814787,336.856573553388,4.143399869048011,-1.8609676062502558,4.542131978084727
140.92028136212224,347.0990982045462,4.431366313072942,-0.8425742961095466,4.510758123098841
140.9225375060966,357.3416228557044,4.719332757097874,0.17581901403121947,4.722606695238545
140.92479365007094,367.58414750686256,5.007299201122805,1.1942123241719855,5.147736236907378
140.9270497940453,377.8266721580208,5.295265645147737,2.2126056343127516,5.738942580796084
140.92930593801967,388.06919680917906,5.583232089172668,3.230998944453461,6.450723582717428
140.931562081994,398.3117214603373,5.8711985331975995,4.249392254594284,7.247641461167042
140.93381822596837,408.55424611149544,6.159164977222531,5.267785564734993,8.104620779078747
140.9343207749621,418.8003502773138,6.773260646908085,6.594402900787543,9.453211592303903
140.9348233239558,429.04645444313223,7.387356316593582,7.921020236840093,10.831232383286094
140.9353258729495,439.29255860895057,8.001451986279108,9.2476375728927,12.228738061153598
140.93582842194323,449.53866277476897,8.615547655964633,10.57425490894525,13.639740770687338
140.93633097093692,459.7847669405873,9.229643325650159,11.9008722449978,15.060447407380614
140.93683351993064,470.0308711064057,9.843738995335684,13.22748958105035,16.488349766580278
140.93733606892437,480.2769752722241,10.45783466502121,14.5541069171029,17.92172798687062
140.9378386179181,490.52307943804243,11.071930334706764,15.880724253155506,19.35936579904831
140.93834116691178,500.7691836038608,11.68602600439229,17.207341589208,20.800380004774436
140.9388437159055,511.01528776967916,12.300121674077815,18.53395892526055,22.244114426975152
140.9349285595199,521.2583446170581,12.388383778908718,18.54233900172187,22.30000870646253
140.9310134031343,531.501401464437,12.476645883739593,18.550719078183192,22.356114841937675
140.9270982467487,541.7444583118158,12.564907988570496,18.559099154644514,22.412431242352298
140.9231830903631,551.9875151591948,12.6531700934014,18.567479231105835,22.46895632667646
140.9192679339775,562.2305720065737,12.741432198232303,18.575859307567157,22.525688523920422
140.9153527775919,572.4736288539526,12.829694303063178,18.58423938402848,22.582626273153593
140.9114376212063,582.7166857013315,12.917956407894081,18.5926194604898,22.63976802352082
140.9075224648207,592.9597425487104,13.006218512724956,18.60099953695112,22.69711223425582
140.90360730843508,603.2027993960893,13.09448061755586,18.609379613412443,22.754657374692258
148.77712724157732,101.25592562854182,6.378557240677736,-19.783281790974087,20.786154788553105
148.78241761861435,111.49832456606617,6.2199243499846375,-19.82545237248317,20.778258365251173
148.7877079956514,121.74072350359056,6.061291459291567,-19.867622953992296,20.77165607255431
148.79299837268843,131.98312244111492,5.9026585685984685,-19.909793535501393,20.766349144800152
148.7982887497255,142.2255213786393,5.744025677905427,-19.951964117010476,20.762338575288442
148.80357912676251,152.46792031616368,5.585392787212328,-19.994134698519616,20.75962511535287
148.80886950379954,162.71031925368808,5.426759896519286,-20.0363052800287,20.75820927365788
148.81415988083663,172.95271819121245,5.268127005826216,-20.07847586153784,20.758091315722485
148.81945025787365,183.1951171287368,5.109494115133145,-20.120646443046894,20.759271263670982
148.82474063491068,193.43751606626117,4.950861224440047,-20.162817024556034,20.761748896212733
148.83003101194774,203.67991500378557,4.792228333746976,-20.204987606065117,20.765523748849013
148.83232584978938,213.9248651698951,4.603303121374381,-18.626402974675045,19.18679982181079
148.83462068763103,224.16981533600463,4.414377909001701,-17.04781834328483,17.610077870047053
148.8369155254727,234.41476550211416,4.225452696629077,-15.469233711894702,16.035948432340057
148.83921036331435,244.65971566822373,4.036527484256453,-13.890649080504545,14.465257896383303
148.84150520115602,254.90466583433323,3.8476022718837726,-12.312064449114416,12.899262546430794
148.84380003899767,265.1496160004428,3.6586770595111773,-10.733479817724287,11.339907707882281
148.84609487683935,275.3945661665523,3.4697518471385536,-9.154895186334159,9.790366885540385
